Structures,Backdoor protections mitigate 50% of damage done to enemy structures,,,,,,,,,,,,,
Structures,Base Health,Damage,Scaling Damage per Shot,Physical Protections,Magical Protections,Physical Damage Reduction,Magical Damage Increase,Gold Reward,EXP Reward,Health Regen,,,,
Jungle Buff Holder,,,,,,,,,,,,,,
Mins,Level,Health,EXP Reward,Gold,Damage,Phys Protections,Mag Protections,,,,,,,
0,1,585,125,49,26,10,6,,,,,,,
3,2,730,134,51,28,12,7,,,,,,,
6,3,875,143,52,30,14,8,,,,,,,
9,4,1020,152,54,32,16,9,,,,,,,
12,5,1165,161,55,34,18,10,,,,,,,
15,6,1310,170,57,36,20,11,,,,,,,
18,7,1455,179,58,38,22,12,,,,,,,
21,8,1600,188,60,40,24,13,,,,,,,
,,,,,,,,,,,,,,
Jungle Buff Minor,,,,,,,,,,,,,,
Mins,Level,Health,EXP Reward,Gold,Damage,Phys Protections,Mag Protections,,,,,,,
0,1,187,29,17,7,7,1,,,,,,,
3,2,259,38,19,9,9,2,,,,,,,
6,3,331,47,20,11,11,3,,,,,,,
9,4,403,56,22,13,13,4,,,,,,,
12,5,475,65,23,15,15,5,,,,,,,
15,6,547,74,25,17,17,6,,,,,,,
18,7,619,83,26,19,19,7,,,,,,,
21,8,691,92,28,21,21,8,,,,,,,
,,,,,,,,,,,,,,
Elder Harpy,,,,,,,,,,,,,,
Mins,Level,Health,EXP Reward,Gold,Damage,Phys Protections,Mag Protections,,,,,,,
0,1,455,43,31,13,10,6,,,,,,,
3,2,530,52,33,15,12,7,,,,,,,
6,3,605,61,34,17,14,8,,,,,,,
9,4,680,70,36,19,16,9,,,,,,,
12,5,755,79,37,21,18,10,,,,,,,
15,6,830,88,39,23,20,11,,,,,,,
18,7,905,97,40,25,22,12,,,,,,,
21,8,980,106,42,27,24,13,,,,,,,
,,,,,,,,,,,,,,
Harpy,,,,,,,,,,,,,,
Mins,Level,Health,EXP Reward,Gold,Damage,Phys Protections,Mag Protections,,,,,,,
0,1,455,43,31,13,10,6,,,,,,,
3,2,530,52,33,15,12,7,,,,,,,
6,3,605,61,34,17,14,8,,,,,,,
9,4,680,70,36,19,16,9,,,,,,,
12,5,755,79,37,21,18,10,,,,,,,
15,6,830,88,39,23,20,11,,,,,,,
18,7,905,97,40,25,22,12,,,,,,,
21,8,980,106,42,27,24,13,,,,,,,
,,,,,,,,,,,,,,
Oracles,,,,,,,,,,,,,,
Mins,Level,Health,EXP Reward,Gold,Damage,Phys Protections,Mag Protections,,,,,,,
0,1,200,31,23,10,7,6,,,,,,,
3,2,270,40,25,12,9,7,,,,,,,
6,3,340,49,26,14,11,8,,,,,,,
9,4,410,58,28,16,13,9,,,,,,,
12,5,480,67,29,18,15,10,,,,,,,
15,6,550,76,31,20,17,11,,,,,,,
18,7,620,85,32,22,19,12,,,,,,,
21,8,690,94,34,24,21,13,,,,,,,
,,,,,,,,,,,,,,
Furies,,,,,,,,,,,,,,
Mins,Level,Health,EXP Reward,GF Gold,P/O Gold,Damage,Physical Protections,Magical Protections,,,,,,
5,6,4500,80,186,145,132,29,26,,,,,,
6,7,4750,85,192,150,134,30.5,27,,,,,,
7,8,5000,90,198,155,136,32,28,,,,,,
8,9,5250,95,204,160,138,33.5,29,,,,,,
9,10,5500,100,210,165,140,35,30,,,,,,
10,11,5750,105,216,170,142,36.5,31,,,,,,
11,12,6000,110,222,175,144,38,32,,,,,,
12,13,6250,115,228,180,146,39.5,33,,,,,,
13,14,6500,120,234,185,148,41,34,,,,,,
14,15,6750,125,240,190,150,42.5,35,,,,,,
15,16,7000,130,246,195,152,44,36,,,,,,
16,17,7250,135,252,200,154,45.5,37,,,,,,
17,18,7500,140,258,205,156,47,38,,,,,,
18,19,7750,145,264,210,158,48.5,39,,,,,,
19,20,8000,150,270,215,160,50,40,,,,,,
20,21,8250,155,276,220,162,51.5,41,,,,,,
21,22,8500,160,282,225,164,53,42,,,,,,
22,23,8750,165,288,230,166,54.5,43,,,,,,
23,24,9000,170,294,235,168,56,44,,,,,,
24,25,9250,175,300,240,170,57.5,45,,,,,,
25,26,9500,180,306,245,172,59,46,,,,,,
26,27,9750,185,312,250,174,60.5,47,,,,,,
27,28,10000,190,318,255,176,62,48,,,,,,
28,29,10250,195,324,260,178,63.5,49,,,,,,
29,30,10500,200,330,265,180,65,50,,,,,,
30,31,10750,205,336,270,182,66.5,51,,,,,,
31,32,11000,210,342,275,184,68,52,,,,,,
32,33,11250,215,348,280,186,69.5,53,,,,,,
33,34,11500,220,354,285,188,71,54,,,,,,
34,35,11750,225,360,290,190,72.5,55,,,,,,
,,,,,,,,,,,,,,
Pyromancer,,,,,,,,,,,,,,
Mins,Level,Health,EXP Reward,Gold,Damage,AoE Dmg,Physical Protections,Magical Protections,,,,,,
10,11,5750,105,133,151,188.75,42,31,,,,,,
11,12,6000,110,136,152,190,44,32,,,,,,
12,13,6250,115,139,153,191.25,46,33,,,,,,
13,14,6500,120,142,154,192.5,48,34,,,,,,
14,15,6750,125,145,155,193.75,50,35,,,,,,
15,16,7000,130,148,156,195,52,36,,,,,,
16,17,7250,135,151,157,196.25,54,37,,,,,,
17,18,7500,140,154,158,197.5,56,38,,,,,,
18,19,7750,145,157,159,198.75,58,39,,,,,,
19,20,8000,150,160,160,200,60,40,,,,,,
20,21,8250,155,163,161,201.25,62,41,,,,,,
21,22,8500,160,166,162,202.5,64,42,,,,,,
22,23,8750,165,169,163,203.75,66,43,,,,,,
23,24,9000,170,172,164,105,68,44,,,,,,
24,25,9250,175,175,165,106.25,70,45,,,,,,
25,26,9500,180,178,166,207.5,72,46,,,,,,
26,27,9750,185,181,167,208.75,74,47,,,,,,
27,28,10000,190,184,168,210,76,48,,,,,,
28,29,10250,195,187,169,211.25,78,49,,,,,,
29,30,10500,200,190,170,212.5,80,50,,,,,,
30,31,10750,205,193,171,203.75,82,51,,,,,,
31,32,11000,210,196,172,215,84,52,,,,,,
32,33,11250,215,199,173,216.25,86,53,,,,,,
33,34,11500,220,202,174,217.5,88,54,,,,,,
34,35,11750,225,205,175,218.75,90,55,,,,,,
,,,,,,,,,,,,,,
Fire Giant,,,,,,,,,,,,,,
Mins,Level,Health,EXP Reward,Gold,Base Attack,Rift,Fury,Pool,Damge Over Time,Physical Protections,Magical Protections,,,
10,11,9025,255,216,152,500,91,225,36,90,50,,,
11,12,9300,260,222,154,500,92,225,37,90,50,,,
12,13,9575,265,228,156,500,93,225,38,90,50,,,
13,14,9850,270,234,158,500,94,225,39,90,50,,,
14,15,10125,275,240,160,500,95,225,40,90,50,,,
15,16,10400,280,246,162,500,96,225,41,90,50,,,
16,17,10675,285,252,164,500,97,225,42,90,50,,,
17,18,10950,290,258,166,500,98,225,43,90,50,,,
18,19,11225,295,264,168,500,99,225,44,90,50,,,
19,20,11500,300,270,170,500,100,225,45,90,50,,,
20,21,11775,305,276,172,500,101,225,46,90,50,,,
21,22,12050,310,282,174,500,102,225,47,90,50,,,
22,23,12325,315,288,176,500,103,225,48,90,50,,,
23,24,12600,320,294,178,500,104,225,49,90,50,,,
24,25,12875,325,300,180,500,105,225,50,90,50,,,
25,26,15150,330,306,202,500,116,225,61,125,85,,,
26,27,15425,335,312,204,500,117,225,62,125,85,,,
27,28,15700,340,318,206,500,118,225,63,125,85,,,
28,29,15975,345,324,208,500,119,225,64,125,85,,,
29,30,16250,350,330,210,500,120,225,65,125,85,,,
30,31,16525,355,336,212,500,121,225,66,125,85,,,
31,32,16800,360,342,214,500,122,225,67,125,85,,,
32,33,17075,365,348,216,500,123,225,68,125,85,,,
33,34,17350,370,354,218,500,124,225,69,125,85,,,
34,35,17625,375,360,220,500,125,225,70,125,85,,,
